Bet slip number,Expected,Actual,Date
36023648195,48.075697,Loss,04/01/2023
36005179575,13.054024,Win,04/01/2023
36010091081,63.0959,Loss,04/01/2023
36055740505,477.970358,Loss,04/02/2023
36034756389,22.713582,Loss,04/02/2023
36048447805,60.410777,Loss,04/02/2023
36060440809,40.195111,Loss,04/02/2023
36061387763,6.043471,Loss,04/02/2023
36079682581,26.549224,Loss,04/03/2023
36106515617,18.945763,Loss,04/04/2023
36111797197,11.185852,Loss,04/04/2023
36148944201,76.898101,Loss,04/05/2023
36149284825,44.197791,Loss,04/05/2023
36174745615,3.208,Win,04/05/2023
36176427337,78.796539,Loss,04/05/2023
36205825793,20600.50592,Loss,04/07/2023
36192121543,15.13808,Loss,04/07/2023
36210852707,2958.039982,Loss,04/07/2023
36198412665,1.3104,Win,04/07/2023
36239736043,41.357538,Loss,04/08/2023
36246950143,46.700188,Loss,04/08/2023
36240702977,37.336088,Loss,04/08/2023
36258525173,271.071991,Loss,04/08/2023
36293502725,4532.234442,Loss,04/09/2023
36286059415,232.765034,Loss,04/09/2023
36259819531,20.932718,Loss,04/09/2023
36345564749,302.793144,Loss,04/11/2023
36352689677,2646.269349,Loss,04/11/2023
36417143267,55302.82265,Loss,04/13/2023
36418449821,1518.476517,Loss,04/13/2023
36436771697,113.820029,Loss,04/14/2023
36446547717,412.919405,Loss,04/15/2023
36482081551,102.515284,Win,04/15/2023
36488861177,3.6155,Win,04/15/2023
36475203433,7.398,Loss,04/15/2023
36486086573,56.1372,Loss,04/15/2023
36526891895,170.83993,Loss,04/16/2023
36529726941,31.044287,Loss,04/16/2023
36528270705,49.512641,Loss,04/16/2023
36551328191,16.073267,Loss,04/17/2023
36545432985,67.599065,Loss,04/17/2023
36579917263,1063.061183,Loss,04/18/2023
36582536687,653.74589,Loss,04/18/2023
36584248111,4.16,Win,04/18/2023
36602008443,61.045487,Loss,04/19/2023
36614217627,15.3525,Loss,04/20/2023
36616379331,2.93,Win,04/20/2023
36616068775,449.555315,Loss,04/20/2023
36647780719,196.105004,Loss,04/20/2023
36698047933,31.716976,Loss,04/22/2023
36683586427,275.435891,Loss,04/22/2023
36735030623,2.32,Win,04/23/2023
36748213883,22.989695,Loss,04/23/2023
36751062987,22.234945,Loss,04/23/2023
36731574177,3.095793,Win,04/23/2023
36732438727,46.601823,Loss,04/23/2023
36775275707,2.654238,Win,04/24/2023
36798544493,23.996721,Loss,04/25/2023
36788853759,2.26,Win,04/25/2023
36830643053,14.351567,Loss,04/25/2023
36833243501,39.743929,Loss,04/26/2023
36867970423,7574.763035,Loss,04/26/2023
36862363203,42.093221,Loss,04/27/2023
36856496261,13.382713,Loss,04/27/2023
36862787369,6.232152,Win,04/27/2023
36894584129,27.86068,Loss,04/28/2023
36897828365,135.077321,Loss,04/28/2023
36916746735,6.844191,Loss,04/29/2023
36936911663,2.51,Win,04/29/2023
36955225081,2.55,Win,04/29/2023
36976616525,3.1389,Win,04/30/2023
36953355749,6.944269,Loss,04/30/2023